"class","family","species","angle","mimicType","right","wrong","numPhotos","accuracy"
"Insecta","Formicidae","Formicid22 sp1","Dorsal","ant",60,1,1,0.0163934426229508
"Insecta","Formicidae","Formicid22 sp1","Lateral","ant",46,1,1,0.0212765957446809
"Insecta","Formicidae","Formicid28 sp1","Dorsal","ant",45,6,1,0.117647058823529
"Insecta","Formicidae","Formicid28 sp1","Lateral","ant",94,3,2,0.0309278350515464
"Insecta","Formicidae","Formicid29 sp1","Dorsal","ant",48,0,1,0
"Insecta","Formicidae","Idiomyrmex sp.","Lateral","ant",68,4,1,0.0555555555555556
"Insecta","Formicidae","Leptomyrmex sp.","Dorsal","ant",56,4,1,0.0666666666666667
"Insecta","Formicidae","Myrmecia nigrocincta","Dorsal","ant",147,7,2,0.0454545454545455
"Insecta","Formicidae","Myrmecia nigrocincta","Lateral","ant",66,2,1,0.0294117647058824
"Insecta","Formicidae","Myrmecia sp.","Dorsal","ant",80,0,1,0
"Insecta","Formicidae","Opisthopsis sp2","Anterior","ant",121,3,1,0.0241935483870968
"Insecta","Formicidae","Orectognathus versicolor","Dorsal","ant",60,15,1,0.2
"Insecta","Formicidae","Pachycondyla villosa","Anterior","ant",70,2,1,0.0277777777777778
"Insecta","Formicidae","Polyrhachis daemeli","Dorsal","ant",65,2,1,0.0298507462686567
"Insecta","Formicidae","Polyrhachis rufifemur","Dorsal","ant",58,13,1,0.183098591549296
"Insecta","Formicidae","Polyrhachis rufifemur","Lateral","ant",140,7,2,0.0476190476190476
"Insecta","Formicidae","Polyrhachis sp.","Dorsal","ant",57,15,1,0.208333333333333
"Insecta","Formicidae","Polyrhachis sp14","Lateral","ant",123,4,1,0.031496062992126
"Insecta","Formicidae","Rhytidoponera metallica","Dorsal","ant",114,5,1,0.0420168067226891
"Insecta","Reduviidae","Reduviid2 sp1","Dorsal","non-mimic",116,2,1,0.0169491525423729
"Insecta","Reduviidae","Reduviid3 sp1","Dorsal","non-mimic",112,16,1,0.125
"Insecta","Rhyparochromidae","Daerlac nigricans","Dorsal","mimic",84,27,1,0.243243243243243
