"Family","Genus","species","mimicType","Leg.III.Femur..width","Leg.III.Femur..length","Prosoma..length","Opisthosoma..width","Opisthosoma.height","Opisthosoma..length","Pedicel..length","Body.length","Prosoma.height","Improved.colour.score","Constriction.height","Constriction.width","Constriction.height.1","Constriction.width.1","accuracy"
"Salticidae","Myrmapana","Myrmapana parallela","mimic",0.178861788617886,0.788617886178862,1.83739837398374,1.10569105691057,0.91869918699187,2.28455284552846,0.235772357723577,4.33333333333333,0.869918699186992,0.33,0.764227642276423,0.853658536585366,0.902439024390244,0.829268292682927,0.401827039010181
"Salticidae","Myrmapeni","Myrmapeni chickeringi","mimic",0.285714285714286,0.971428571428572,1.61428571428571,1.01428571428571,0.671428571428571,2.05714285714286,0.185714285714286,3.87142857142857,0.7,0.67,0.642857142857143,0,0.642857142857143,0.814285714285714,0.712795714042571
"Salticidae","Myrmaplata","Myrmaplata plataleoides","mimic",0.179310344827586,1.17241379310345,2.13103448275862,1.01379310344828,0.606896551724138,2.06896551724138,0.63448275862069,4.84137931034483,0.910344827586207,0.33,0.475862068965517,0.689655172413793,0.413793103448276,0.544827586206897,0.488378449564044
"Salticidae","Myrmarachne","Myrmarachne bicolor","mimic",0.20579783637593,0.862998647734956,2.24306964164976,1.1750338066261,1.02214334009466,2.52332657200811,0.232082488167681,5.00177484787018,1.02101081812035,0.33,0.842849898580122,0.923174442190669,0.832995267072346,0.955121703853955,0.439467093711011
"Salticidae","Myrmarachne","Myrmarachne erythrocephala","mimic",0.25334693877551,0.861959183673469,2.03461224489796,1.40848979591837,1.0969387755102,2.50073469387755,0.228244897959184,4.77820408163265,0.98330612244898,0.67,0.874081632653061,0.938489795918367,1.06273469387755,1.16204081632653,0.620909332937466
"Salticidae","Myrmarachne","Myrmarachne formicaria","mimic",0.145454545454545,0.624242424242424,2.0969696969697,0.872727272727273,0.763636363636364,1.80606060606061,0.206060606060606,4.33939393939394,0.563636363636364,0.33,0.539393939393939,0,0.733333333333333,0,0.292881124201859
"Salticidae","Myrmarachne","Myrmarachne helensmithae","mimic",0.127272727272727,0.521212121212121,1.87272727272727,0.618181818181818,0.509090909090909,1.73939393939394,0.193939393939394,3.8,0.806060606060606,0.33,0.654545454545455,0.76969696969697,0.460606060606061,0.551515151515152,0.464792739504436
"Salticidae","Myrmarachne","Myrmarachne luctuosa","mimic",0.177119706330021,0.990822813143522,2.05696570865789,0.880159369683947,1.03035186677411,2.13821738741159,0.194242994001253,4.42024800787895,0.766071268690124,0.67,0.645760587339959,0,0.932702121944668,0.800004476676515,0.561023789825214
"Salticidae","Myrmarachne","Myrmarachne macaulayi","mimic",0.156592512208356,0.866847531199132,1.9148128052089,0.844275637547477,0.692457948996202,2.13760173629951,0.281606077048291,4.58041237113402,0.801844818231145,0.67,0.609061313076506,0.666630493760174,0.610037981551818,0.588876831253391,0.712414093477078
"Salticidae","Myrmarachne","Myrmarachne macleayana","mimic",0.197902097902098,0.861844405594406,2.07797202797203,1.1340034965035,1.09479895104895,2.30646853146853,0.337325174825175,4.55340909090909,0.879020979020979,0.67,0.676879370629371,0.857823426573427,1.05231643356643,1.03155594405594,0.616727247442371
