"angle","species","specimenId","mimicType","imageabletype","imageableid","created_at","updated_at","id","kingdom","phylum","class","order","family","genus","taxonRank","scientificName","scientificNameAuthorship","vernacularName","description","individualCount","bodylength","sex","lifeStage","form","notes","idconfidence","other","ref","disposition","numphotos","Ant.mimic.","Sex","Notes","Done.","accuracy"
"Dorsal","Tinytrema bondi","538","mimic","Specimen",538,"2017-04-15 00:19:38 UTC","2017-04-15 00:23:09 UTC",538,"Animalia","Arthropoda","Arachnida","Araneae","Trochanteriidae","Tinytrema","Species","Tinytrema bondi","(Platnick, 2002)","","",1,3.4,"","","","","Aus museum","Ant-mimic spider","KS.116906","AM collection",3,NA,NA,NA,NA,0.636690888008199
"Dorsal","Zillimata scintillans","539","non-mimic","Specimen",539,"2017-04-15 00:36:35 UTC","2017-04-15 00:36:36 UTC",539,"Animalia","Arthropoda","Arachnida","Araneae","Zodariidae","Zillimata","Species","Zillimata scintillans","(Cambridge, 1869)","","",1,6,"Male","","","Behavioural ant mimic","Aus museum","","KS.82175","AM collection",2,NA,NA,NA,NA,0.77895192380536
"Dorsal","Thomisid1 sp1","54","non-mimic","Specimen",54,"2017-01-06 03:44:27 UTC","2017-01-06 03:44:28 UTC",54,"Animalia","Arthropoda","Arachnida","Araneae","Thomisidae","Thomisid1","Species","Thomisid1 sp1","","","Crab spider",1,3.4,"","","","","1","","10-Jun","",3,NA,NA,NA,NA,0.224136606480163
"Dorsal","Ligonipes sp2","540","mimic","Specimen",540,"2017-04-15 00:53:52 UTC","2017-04-15 00:53:54 UTC",540,"Animalia","Arthropoda","Arachnida","Araneae","Salticidae","Ligonipes","Species","Ligonipes sp2","","","",1,4.5,"Male","","","","Aus museum","Ant-mimic spider","KS.64919","AM collection",2,NA,NA,NA,NA,0.739070891602
"Dorsal","Ligonipes sp2","541","mimic","Specimen",541,"2017-04-23 01:42:10 UTC","2017-04-23 01:42:11 UTC",541,"Animalia","Arthropoda","Arachnida","Araneae","Salticidae","Ligonipes","Species","Ligonipes sp2","","","",1,4.2,"Male","","","","Aus museum","Ant-mimic spider","KS.64919","AM collection",2,NA,NA,NA,NA,0.773214953021423
"Dorsal","Ligonipes sp2","542","mimic","Specimen",542,"2017-04-19 01:20:20 UTC","2017-04-19 01:20:21 UTC",542,"Animalia","Arthropoda","Arachnida","Araneae","Salticidae","Ligonipes","Species","Ligonipes sp2","","","",1,5.1,"Male","","","","Aus museum","Ant-mimic spider","KS.64919","AM collection",2,NA,NA,NA,NA,0.808961131689161
"Dorsal","Myrmarachne luctuosa","543","mimic","Specimen",543,"2017-04-15 00:58:59 UTC","2017-04-15 00:59:00 UTC",543,"Animalia","Arthropoda","Arachnida","Araneae","Salticidae","Myrmarachne","Species","Myrmarachne luctuosa","(L. Koch, 1879)","","",1,4.9,"","","","Identified as Myrmarachne simoni (L. Koch, 1879) by the Aus museum, which is now considered a synonym of M Luctuosa.","Aus museum","Ant-mimic spider","KS.81938","AM collection",2,NA,NA,NA,NA,0.688470827518755
"Dorsal","Myrmarachne luctuosa","544","mimic","Specimen",544,"2017-04-23 01:05:34 UTC","2017-04-23 01:10:51 UTC",544,"Animalia","Arthropoda","Arachnida","Araneae","Salticidae","Myrmarachne","Species","Myrmarachne luctuosa","(L. Koch, 1879)","","",1,6.8,"","","","Identified as Myrmarachne simoni (L. Koch, 1879) by the Aus museum, which is now considered a synonym of M Luctuosa.","Aus museum","Ant-mimic spider","KS.81938","AM collection",2,NA,NA,NA,NA,0.790490158737554
"Dorsal","Myrmarachne luctuosa","545","mimic","Specimen",545,"2017-04-23 01:10:26 UTC","2017-04-23 01:10:28 UTC",545,"Animalia","Arthropoda","Arachnida","Araneae","Salticidae","Myrmarachne","Species","Myrmarachne luctuosa","(L. Koch, 1879)","","",1,5,"","","","Identified as Myrmarachne simoni (L. Koch, 1879) by the Aus museum, which is now considered a synonym of M Luctuosa.","Aus museum","Ant-mimic spider","KS.81938","AM collection",2,NA,NA,NA,NA,0.840997728188388
"Dorsal","Myrmarachne luctuosa","546","mimic","Specimen",546,"2017-04-23 01:15:06 UTC","2017-04-23 01:15:07 UTC",546,"Animalia","Arthropoda","Arachnida","Araneae","Salticidae","Myrmarachne","Species","Myrmarachne luctuosa","(L. Koch, 1879)","","",1,5.2,"","","","Identified as Myrmarachne simoni (L. Koch, 1879) by the Aus museum, which is now considered a synonym of M Luctuosa.","Aus museum","Ant-mimic spider","KS.81938","AM collection",2,NA,NA,NA,NA,0.790373600611132
"Dorsal","Myrmarachne luctuosa","547","mimic","Specimen",547,"2017-04-23 01:19:25 UTC","2017-04-23 01:19:26 UTC",547,"Animalia","Arthropoda","Arachnida","Araneae","Salticidae","Myrmarachne","Species","Myrmarachne luctuosa","(L. Koch, 1879)","","",1,5.3,"","","","Identified as Myrmarachne simoni (L. Koch, 1879) by the Aus museum, which is now considered a synonym of M Luctuosa.","Aus museum","Ant-mimic spider","KS.81938","AM collection",2,NA,NA,NA,NA,0.783980545632223
"Dorsal","Myrmarachne luctuosa","548","mimic","Specimen",548,"2017-04-23 01:23:18 UTC","2017-04-23 01:23:19 UTC",548,"Animalia","Arthropoda","Arachnida","Araneae","Salticidae","Myrmarachne","Species","Myrmarachne luctuosa","(L. Koch, 1879)","","",1,5.2,"","","","Identified as Myrmarachne simoni (L. Koch, 1879) by the Aus museum, which is now considered a synonym of M Luctuosa.","Aus museum","Ant-mimic spider","KS.81938","AM collection",2,NA,NA,NA,NA,0.82010698221005
"Dorsal","Myrmarachne luctuosa","549","mimic","Specimen",549,"2017-04-23 01:27:25 UTC","2017-04-23 01:27:26 UTC",549,"Animalia","Arthropoda","Arachnida","Araneae","Salticidae","Myrmarachne","Species","Myrmarachne luctuosa","(L. Koch, 1879)","","",1,3.9,"","","","Identified as Myrmarachne simoni (L. Koch, 1879) by the Aus museum, which is now considered a synonym of M Luctuosa.","Aus museum","Ant-mimic spider","KS.81938","AM collection",2,NA,NA,NA,NA,0.805292735474712
"Dorsal","Myrmarachne luctuosa","550","mimic","Specimen",550,"2017-04-23 01:33:15 UTC","2017-04-23 01:33:17 UTC",550,"Animalia","Arthropoda","Arachnida","Araneae","Salticidae","Myrmarachne","Species","Myrmarachne luctuosa","(L. Koch, 1879)","","",1,5.7,"","","","Identified as Myrmarachne simoni (L. Koch, 1879) by the Aus museum, which is now considered a synonym of M Luctuosa.","Aus museum","Ant-mimic spider","KS.81938","AM collection",2,NA,NA,NA,NA,0.849806248996044
"Dorsal","Judalana lutea","551","mimic","Specimen",551,"2017-04-19 01:24:34 UTC","2017-04-19 01:24:35 UTC",551,"Animalia","Arthropoda","Arachnida","Araneae","Salticidae","Judalana","Species","Judalana lutea","(Rix, 1999)","","",1,4,"Female","","","","Aus museum","Ant-mimic spider","KS.106524","AM collection",2,NA,NA,NA,NA,0.681380048724094
"Dorsal","Storena mainae","552","non-mimic","Specimen",552,"2017-04-19 01:14:07 UTC","2017-04-19 01:14:09 UTC",552,"Animalia","Arthropoda","Arachnida","Araneae","Zodariidae","Storena","Species","Storena mainae","(Jocqué & Baehr, 1995)","","",1,12.1,"male","","","","Aus museum","","KS.116353","AM collection",2,NA,NA,NA,NA,0.649059054815113
"Dorsal","Storena mainae","553","non-mimic","Specimen",553,"2017-04-23 01:37:40 UTC","2017-04-23 01:37:41 UTC",553,"Animalia","Arthropoda","Arachnida","Araneae","Zodariidae","Storena","Species","Storena mainae","(Jocqué & Baehr, 1995)","","",1,11.4,"Male","","","","Aus museum","","KS.116353","AM collection",2,NA,NA,NA,NA,0.5889092230493
"Dorsal","Amyciaea sp1","554","mimic","Specimen",554,"2017-04-19 02:02:20 UTC","2017-04-19 02:02:21 UTC",554,"Animalia","Arthropoda","Arachnida","Araneae","Thomisidae","Amyciaea","Species","Amyciaea sp1","","","",1,5.3,"","","","","Aus museum","Ant-mimic spider","KS.64179","AM collection",2,NA,NA,NA,NA,0.62681354402677
"Dorsal","Amyciaea sp1","555","mimic","Specimen",555,"2017-04-19 01:58:37 UTC","2017-04-19 01:58:39 UTC",555,"Animalia","Arthropoda","Arachnida","Araneae","Thomisidae","Amyciaea","Species","Amyciaea sp1","","","",1,4,"","","","","Aus museum","Ant-mimic spider","KS.64179","AM collection",2,NA,NA,NA,NA,0.719616593352602
"Dorsal","Amyciaea sp1","556","mimic","Specimen",556,"2017-04-19 01:55:01 UTC","2017-04-19 01:55:03 UTC",556,"Animalia","Arthropoda","Arachnida","Araneae","Thomisidae","Amyciaea","Species","Amyciaea sp1","","","",1,NA,"","","","","Aus museum","Ant-mimic spider","KS.64179","AM collection",2,NA,NA,NA,NA,0.598221922386352
"Dorsal","Amyciaea sp1","557","mimic","Specimen",557,"2017-04-19 01:51:41 UTC","2017-04-19 01:51:43 UTC",557,"Animalia","Arthropoda","Arachnida","Araneae","Thomisidae","Amyciaea","Species","Amyciaea sp1","","","",1,4.1,"","","","","Aus museum","Ant-mimic spider","KS.64179","AM collection",2,NA,NA,NA,NA,0.598247135497474
"Dorsal","Amyciaea sp1","558","mimic","Specimen",558,"2017-04-19 01:47:59 UTC","2017-04-19 01:48:01 UTC",558,"Animalia","Arthropoda","Arachnida","Araneae","Thomisidae","Amyciaea","Species","Amyciaea sp1","","","",1,NA,"","","","","Aus museum","Ant-mimic spider","KS.64179","AM collection",2,NA,NA,NA,NA,0.68562627621919
"Dorsal","Amyciaea sp1","559","mimic","Specimen",559,"2017-04-19 01:10:39 UTC","2017-04-19 01:10:47 UTC",559,"Animalia","Arthropoda","Arachnida","Araneae","Thomisidae","Amyciaea","Species","Amyciaea sp1","","","",1,2.5,"","","","","Aus museum","Ant-mimic spider","KS.64179","AM collection",2,NA,NA,NA,NA,0.579020932187012
"Dorsal","Astia hariola","560","non-mimic","Specimen",560,"2017-04-15 01:05:30 UTC","2017-04-15 01:05:31 UTC",560,"Animalia","Arthropoda","Arachnida","Araneae","Salticidae","Astia","Species","Astia hariola","(Koch, 1879)","Gypsy Jumper","Golden bum jumper",1,5.1,"Male","","","Found under loose bark. Is the golden bum very crude mimicry?
Pickled in 70% ethanol, 20-Jul-2017.","Robert Whyte","","","Michael Kelly",9,NA,NA,NA,NA,0.549711649614726
