"class","family","species","angle","mimicType","right","wrong","numPhotos","accuracy"
"Arachnida","Salticidae","Ligonipes semitectus","Dorsal","mimic",52,16,1,0.235294117647059
"Arachnida","Salticidae","Ligonipes semitectus","Lateral","mimic",45,31,1,0.407894736842105
"Arachnida","Salticidae","Myrmapana plataleoides","Dorsal","mimic",21,19,1,0.475
"Arachnida","Salticidae","Myrmarachne bicolor","Lateral","mimic",32,42,1,0.567567567567568
"Arachnida","Salticidae","Myrmarachne erythrocephala","Dorsal","mimic",32,24,1,0.428571428571429
"Arachnida","Salticidae","Myrmarachne erythrocephala","Lateral","mimic",30,38,1,0.558823529411765
"Arachnida","Salticidae","Myrmarachne erythrocephala","Posterior","mimic",25,32,1,0.56140350877193
"Arachnida","Salticidae","Myrmarachne helensmithae","Dorsal","mimic",48,22,1,0.314285714285714
"Arachnida","Salticidae","Myrmarachne helensmithae","Lateral","mimic",19,55,1,0.743243243243243
"Arachnida","Salticidae","Myrmarachne luctuosa","Dorsal","mimic",205,21,2,0.0929203539823009
"Arachnida","Salticidae","Myrmarachne macaulayi","Dorsal","mimic",25,51,1,0.671052631578947
"Arachnida","Salticidae","Myrmarachne macaulayi","Lateral","mimic",46,25,1,0.352112676056338
"Arachnida","Salticidae","Myrmarachne macaulayi","Posterior","mimic",19,42,1,0.688524590163934
"Arachnida","Salticidae","Myrmarachne macleayana","Anterior","mimic",54,25,1,0.316455696202532
"Arachnida","Salticidae","Myrmarachne macleayana","Dorsal","mimic",87,57,2,0.395833333333333
"Arachnida","Salticidae","Myrmarachne macleayana","Lateral","mimic",119,215,4,0.643712574850299
"Arachnida","Salticidae","Myrmarachne smaragdina","Dorsal","mimic",79,60,2,0.431654676258993
"Arachnida","Salticidae","Myrmarachne smaragdina","Lateral","mimic",41,92,2,0.691729323308271
"Arachnida","Salticidae","Myrmarachne sp 2","Anterior","mimic",51,9,1,0.15
"Arachnida","Salticidae","Myrmarachne sp1","Lateral","mimic",48,54,1,0.529411764705882
"Arachnida","Salticidae","Myrmarachne striatipes","Anterior","mimic",69,35,1,0.336538461538462
"Arachnida","Salticidae","Neon nelli","Anterior","non-mimic",64,0,1,0
"Arachnida","Salticidae","Neon nelli","Dorsal","non-mimic",67,0,1,0
"Arachnida","Salticidae","Neon nelli","Lateral","non-mimic",65,1,1,0.0151515151515152
"Arachnida","Salticidae","Rhombonotus gracilis","Dorsal","mimic",29,24,1,0.452830188679245
"Arachnida","Salticidae","Rhombonotus gracilis","Lateral","mimic",20,27,1,0.574468085106383
"Arachnida","Salticidae","Zenodorus metallescens","Dorsal","non-mimic",118,0,1,0
"Arachnida","Sparassidae","Holconia sp","Anterior","non-mimic",104,3,1,0.0280373831775701
"Arachnida","Sparassidae","Holconia sp","Dorsal","non-mimic",98,0,1,0
"Arachnida","Thomisidae","Amyciaea albomaculata","Anterior","mimic",97,10,1,0.0934579439252336
"Arachnida","Thomisidae","Amyciaea albomaculata","Posterior","mimic",96,18,1,0.157894736842105
"Insecta","Alydidae","Alydid3 sp1","Dorsal","mimic",92,23,1,0.2
"Insecta","Alydidae","Alydid3 sp1","Lateral","mimic",44,67,1,0.603603603603604
"Insecta","Alydidae","Riptortus abdominalis","Dorsal","mimic",57,69,1,0.547619047619048
"Insecta","Chrysididae","Chrysidid1 sp1","Dorsal","non-mimic",109,2,1,0.018018018018018
"Insecta","Chrysididae","Chrysidid1 sp1","Lateral","non-mimic",115,2,1,0.0170940170940171
"Insecta","Coleoptera","Coleoptera2 sp1","Dorsal","non-mimic",35,6,1,0.146341463414634
"Insecta","Coleoptera","Coleoptera2 sp1","Lateral","non-mimic",49,1,1,0.02
"Insecta","Formicidae","Camponotus nigriceps","Dorsal","ant",33,8,1,0.195121951219512
"Insecta","Formicidae","Camponotus sp.","Dorsal","ant",74,2,1,0.0263157894736842
"Insecta","Formicidae","Camponotus sp3","Anterior","ant",109,3,1,0.0267857142857143
"Insecta","Formicidae","Camponotus sp3","Dorsal","ant",101,0,1,0
"Insecta","Formicidae","Camponotus sp3","Lateral","ant",111,0,1,0
"Insecta","Formicidae","Crematogaster sp1","Dorsal","ant",106,1,1,0.00934579439252336
"Insecta","Formicidae","Crematogaster sp1","Lateral","ant",117,2,1,0.0168067226890756
"Insecta","Formicidae","Dolichoderus scabridus","Dorsal","ant",123,4,2,0.031496062992126
"Insecta","Formicidae","Dolichoderus scabridus","Lateral","ant",116,3,1,0.0252100840336134
"Insecta","Formicidae","Dolichoderus sp.","Anterior","ant",64,1,1,0.0153846153846154
"Insecta","Formicidae","Dolichoderus sp.","Dorsal","ant",61,1,1,0.0161290322580645
"Insecta","Formicidae","Formicid sp.","Anterior","ant",123,3,3,0.0238095238095238
"Insecta","Formicidae","Formicid sp.","Dorsal","ant",286,7,6,0.0238907849829352
"Insecta","Formicidae","Formicid sp.","Lateral","ant",609,23,13,0.0363924050632911
"Insecta","Formicidae","Formicid1 sp1","Dorsal","ant",105,1,2,0.00943396226415094
"Insecta","Formicidae","Formicid1 sp1","Lateral","ant",51,0,1,0
"Insecta","Formicidae","Formicid10 sp1","Anterior","ant",37,0,1,0
"Insecta","Formicidae","Formicid10 sp1","Dorsal","ant",36,0,1,0
"Insecta","Formicidae","Formicid10 sp1","Lateral","ant",47,1,1,0.0208333333333333
"Insecta","Formicidae","Formicid14 sp1","Dorsal","ant",101,2,1,0.0194174757281553
"Insecta","Formicidae","Formicid14 sp1","Lateral","ant",109,3,1,0.0267857142857143
"Insecta","Formicidae","Formicid22 sp1","Dorsal","ant",57,1,1,0.0172413793103448
"Insecta","Formicidae","Formicid22 sp1","Lateral","ant",39,1,1,0.025
"Insecta","Formicidae","Formicid28 sp1","Dorsal","ant",39,4,1,0.0930232558139535
"Insecta","Formicidae","Formicid28 sp1","Lateral","ant",86,3,2,0.0337078651685393
"Insecta","Formicidae","Formicid29 sp1","Dorsal","ant",42,0,1,0
"Insecta","Formicidae","Idiomyrmex sp.","Lateral","ant",58,3,1,0.0491803278688525
"Insecta","Formicidae","Leptomyrmex sp.","Dorsal","ant",50,3,1,0.0566037735849057
"Insecta","Formicidae","Myrmecia nigrocincta","Dorsal","ant",138,4,2,0.028169014084507
"Insecta","Formicidae","Myrmecia nigrocincta","Lateral","ant",63,2,1,0.0307692307692308
"Insecta","Formicidae","Myrmecia sp.","Dorsal","ant",75,0,1,0
"Insecta","Formicidae","Opisthopsis sp2","Anterior","ant",115,3,1,0.0254237288135593
"Insecta","Formicidae","Orectognathus versicolor","Dorsal","ant",57,14,1,0.197183098591549
"Insecta","Formicidae","Pachycondyla villosa","Anterior","ant",63,2,1,0.0307692307692308
"Insecta","Formicidae","Polyrhachis daemeli","Dorsal","ant",62,2,1,0.03125
"Insecta","Formicidae","Polyrhachis rufifemur","Dorsal","ant",52,10,1,0.161290322580645
"Insecta","Formicidae","Polyrhachis rufifemur","Lateral","ant",129,7,2,0.0514705882352941
"Insecta","Formicidae","Polyrhachis sp.","Dorsal","ant",55,12,1,0.17910447761194
"Insecta","Formicidae","Polyrhachis sp14","Lateral","ant",118,4,1,0.0327868852459016
"Insecta","Formicidae","Rhytidoponera metallica","Dorsal","ant",107,4,1,0.036036036036036
"Insecta","Reduviidae","Reduviid2 sp1","Dorsal","non-mimic",108,2,1,0.0181818181818182
"Insecta","Reduviidae","Reduviid3 sp1","Dorsal","non-mimic",106,15,1,0.12396694214876
"Insecta","Rhyparochromidae","Daerlac nigricans","Dorsal","mimic",76,24,1,0.24
