"angle","species","mimicType","imageabletype","imageableid","created_at","updated_at","id","kingdom","phylum","class","order","family","genus","taxonRank","scientificName","scientificNameAuthorship","vernacularName","bodylength","Ant.mimic.","accuracy"
"Dorsal","Polyrhachis monteithi","model","Specimen",829,"2017-06-24 23:53:09 UTC","2017-06-24 23:53:11 UTC",829,"Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","Polyrhachis","Species","Polyrhachis monteithi","(Kohout, 2006)","",5.9,NA,0.83772678293768
"Dorsal","Polyrhachis sp1","model","Specimen",66,"2017-01-06 03:44:30 UTC","2017-01-06 03:56:54 UTC",66,"Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","Polyrhachis","Species","Polyrhachis sp1","","",5.6,NA,0.806597512317783
"Dorsal","Polyrhachis sp2","model","Specimen",384,"2017-01-06 03:45:08 UTC","2017-01-06 04:04:34 UTC",384,"Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","Polyrhachis","Species","Polyrhachis sp2","","",7.6,NA,0.902184781853949
"Dorsal","Reduviid1 sp1","non-mimic","Specimen",488,"2017-08-17 12:51:47 UTC","2017-08-17 12:51:48 UTC",488,"Animalia","Arthropoda","Insecta","Hemiptera","Reduviidae","Reduviid1","Species","Reduviid1 sp1","","",2.8,NA,0.701886319631977
"Dorsal","Rhombonotus gracilis","mimic","Specimen",609,"2017-08-12 13:16:30 UTC","2017-08-12 13:16:33 UTC",609,"Animalia","Arthropoda","Arachnida","Araneae","Salticidae","Rhombonotus","Species","Rhombonotus gracilis","(Koch L., 1879)","",2.7,NA,0.818642905799642
"Dorsal","Rhombonotus sp1","non-mimic","Specimen",618,"2017-05-11 12:18:53 UTC","2017-05-11 12:18:54 UTC",618,"Animalia","Arthropoda","Arachnida","Araneae","Salticidae","Rhombonotus","Species","Rhombonotus sp1","","",2.8,NA,0.684031181896051
"Dorsal","Rhombonotus sp2","mimic","Specimen",813,"2017-08-13 14:42:17 UTC","2017-08-13 14:43:13 UTC",813,"Animalia","Arthropoda","Arachnida","Araneae","Salticidae","Rhombonotus","Species","Rhombonotus sp2","","",3.88571428571429,NA,0.840326556335025
"Dorsal","Rhombonotus sp3","mimic","Specimen",857,"2017-08-12 12:23:29 UTC","2017-08-12 12:23:33 UTC",857,"Animalia","Arthropoda","Arachnida","Araneae","Salticidae","Rhombonotus","Species","Rhombonotus sp3","","",2,NA,0.822309390854201
"Dorsal","Rhytidoponera metallica","model","Specimen",567,"2017-04-17 00:40:37 UTC","2017-04-17 00:40:39 UTC",567,"Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","Rhytidoponera","Species","Rhytidoponera metallica","(Smith, 1858)","",6.25,NA,0.911339383095446
"Dorsal","Riptortus abdominalis","mimic","Specimen",434,"2017-03-26 07:55:03 UTC","2017-03-26 07:55:04 UTC",434,"Animalia","Arthropoda","Insecta","Hemiptera","Alydidae","Riptortus","Species","Riptortus abdominalis","(Westwood, 1842)","",9.84,NA,0.75790425025317
