"class","family","species","angle","mimicType","webUrl","antennalIllusion","background","right","wrong","accuracy","decisionTimeMean","decisionTimeSD"
"Arachnida","Salticidae","Myrmarachne erythrocephala","Lateral","mimic","images/146.jpg",TRUE,"Natural",30,38,0.558823529411765,2673.97058823529,1183.24848793339
"Arachnida","Salticidae","Myrmarachne erythrocephala","Posterior","mimic","images/147.jpg",TRUE,"Natural",25,32,0.56140350877193,2505.71929824561,1041.90614730862
"Arachnida","Salticidae","Damoetas nitidus","Dorsal","mimic","images/1547.jpg",TRUE,"Natural",59,7,0.106060606060606,2408.90909090909,1152.66185217285
"Arachnida","Salticidae","Myrmarachne erythrocephala","Dorsal","mimic","images/303.jpg",TRUE,"Natural",32,24,0.428571428571429,2672.57142857143,1146.32428946759
"Arachnida","Salticidae","Myrmarachne macleayana","Lateral","mimic","images/943.jpg",TRUE,"Natural",30,41,0.577464788732394,2491.42253521127,1224.13313540611
"Arachnida","Salticidae","Myrmarachne sp 2","Anterior","mimic","images/GJA-4522.jpg",TRUE,"Natural",51,9,0.15,2517.73333333333,1341.16781728622
"Arachnida","Corinnidae","Corrinnomma sp.","Lateral","mimic","images/Z004.jpg",TRUE,"Natural",53,20,0.273972602739726,2382.42465753425,1055.99550080334
"Arachnida","Corinnidae","Myrmecotypus rettenmeyeri","Anterior","mimic","images/Z008.jpg",TRUE,"Natural",32,30,0.483870967741935,2661.06451612903,1165.45857956749
"Arachnida","Corinnidae","Sphecotypus niger","Anterior","mimic","images/Z009.jpg",TRUE,"Natural",24,36,0.6,2686.6,1274.85333420312
"Arachnida","Salticidae","Myrmarachne macaulayi","Dorsal","mimic","images/Z029.jpg",TRUE,"Natural",25,51,0.671052631578947,2564.18421052632,1301.39705148507
"Arachnida","Salticidae","Myrmarachne macaulayi","Lateral","mimic","images/Z030.jpg",TRUE,"Natural",46,25,0.352112676056338,2680.23943661972,1296.39891859598
"Arachnida","Salticidae","Myrmarachne macaulayi","Posterior","mimic","images/Z031.jpg",TRUE,"Natural",19,42,0.688524590163934,2482.22950819672,1139.38500068301
